book_id,n_reviews_total,n_reviews_gendered,prop_review_gendered,addressee_gender_score_token
L101,304,68,0.2236842105263158,0.6707317073170732
L102,199,65,0.32663316582914576,0.49382716049382713
L103,300,64,0.21333333333333335,0.5394736842105263
L104,700,149,0.21285714285714286,0.5397727272727273
L105,31,3,0.0967741935483871,0
L106,106,37,0.3490566037735849,0.6730769230769231
L107,87,41,0.47126436781609193,0.14583333333333334
L108,106,45,0.42452830188679247,0.14285714285714285
L109,279,64,0.22939068100358423,0.7837837837837838
L110,34,6,0.17647058823529413,0.4444444444444444
L111,108,21,0.19444444444444445,0.32
L112,400,85,0.2125,0.6355140186915887
L113,79,23,0.2911392405063291,0.28125
L114,337,107,0.31750741839762614,0.49206349206349204
L115,520,141,0.27115384615384613,0.4076086956521739
L116,520,142,0.27307692307692305,0.467005076142132
L117,440,126,0.2863636363636364,0.43312101910828027
L118,432,107,0.24768518518518517,0.46825396825396826
L119,470,154,0.3276595744680851,0.5240641711229946
L120,318,108,0.33962264150943394,0.5251798561151079
L121,168,51,0.30357142857142855,0.4745762711864407
L122,490,144,0.2938775510204082,0.6416184971098265
L123,117,54,0.46153846153846156,0.5652173913043478
L124,640,199,0.3109375,0.4551971326164875
L125,400,117,0.2925,0.5732484076433121
L126,420,135,0.32142857142857145,0.5
L127,620,161,0.25967741935483873,0.5247524752475248
L128,145,42,0.2896551724137931,0.5283018867924528
L129,27,7,0.25925925925925924,0.4
L130,232,73,0.3146551724137931,0.4157303370786517
L131,9,NA,NA,NA
L132,390,117,0.3,0.46496815286624205
L133,134,46,0.34328358208955223,0.4807692307692308
L134,164,8,0.04878048780487805,0.3333333333333333
L136,190,58,0.30526315789473685,0.2
L138,440,143,0.325,0.41916167664670656
L139,430,152,0.35348837209302325,0.9679144385026738
L140,130,51,0.3923076923076923,0.3972602739726027
L141,430,138,0.3209302325581395,0.8863636363636364
L142,420,152,0.3619047619047619,0.9833333333333333
L143,390,80,0.20512820512820512,0.5
L144,11,3,0.2727272727272727,0.6666666666666666
L145,419,143,0.3412887828162291,0.3430232558139535
L146,410,132,0.32195121951219513,0.40804597701149425
L147,354,112,0.3163841807909605,0.460431654676259
L148,599,200,0.333889816360601,0.47280334728033474
L149,410,105,0.25609756097560976,0.904
L150,540,151,0.2796296296296296,0.3728813559322034
L151,560,157,0.28035714285714286,0.40540540540540543
L153,420,105,0.25,0.34328358208955223
L154,420,96,0.22857142857142856,0.5748031496062992
L155,334,83,0.24850299401197604,0.5648148148148148
L156,160,26,0.1625,0.40625
L157,236,55,0.2330508474576271,0.52
L158,457,101,0.2210065645514223,0.4424778761061947
L159,104,29,0.27884615384615385,0.6176470588235294
L160,317,150,0.47318611987381703,0.5570776255707762
L161,510,222,0.43529411764705883,0.2723735408560311
L162,426,130,0.3051643192488263,0.42528735632183906
L163,40,9,0.225,0.7
L164,20,6,0.3,0.8333333333333334
L165,420,78,0.18571428571428572,0.5280898876404494
L166,430,144,0.33488372093023255,0.46113989637305697
L167,178,59,0.33146067415730335,0.37333333333333335
L168,324,93,0.28703703703703703,0.5409836065573771
L169,20,3,0.15,0.75
L170,97,31,0.31958762886597936,0.225
L171,118,36,0.3050847457627119,0.40425531914893614
L172,390,67,0.1717948717948718,0.425
L173,11,2,0.18181818181818182,1
L174,620,221,0.3564516129032258,0.5518518518518518
L175,111,25,0.22522522522522523,0.48484848484848486
L176,619,171,0.2762520193861066,0.5373134328358209
L177,410,92,0.22439024390243903,0.488
L178,563,243,0.43161634103019536,0.4583333333333333
L179,272,65,0.23897058823529413,0.5
L180,530,134,0.2528301886792453,0.5
L181,56,10,0.17857142857142858,0.42857142857142855
L182,23,7,0.30434782608695654,0.5
L183,420,199,0.4738095238095238,0.1509433962264151
L184,265,81,0.30566037735849055,0.5416666666666666
L185,410,125,0.3048780487804878,0.5657894736842105
L186,449,109,0.24276169265033407,0.4563758389261745
L187,340,44,0.12941176470588237,0.5454545454545454
L188,639,163,0.25508607198748046,0.581151832460733
L189,1220,308,0.25245901639344265,0.42480211081794195
L190,410,120,0.2926829268292683,0.5
L191,610,259,0.4245901639344262,0.40285714285714286
L192,537,154,0.28677839851024206,0.24878048780487805
L193,440,135,0.3068181818181818,0.4
L194,203,63,0.3103448275862069,0.1506849315068493
L195,610,104,0.17049180327868851,0.4609375
L196,123,36,0.2926829268292683,0.4727272727272727
L197,406,99,0.2438423645320197,0.375886524822695
L198,117,28,0.23931623931623933,0.41025641025641024
L199,248,36,0.14516129032258066,0.48
L200,291,111,0.38144329896907214,0.064
L201,410,115,0.2804878048780488,0.8142857142857143
L202,75,19,0.25333333333333335,0.5
L203,590,216,0.36610169491525424,0.4254545454545455
L204,510,117,0.22941176470588234,0.6293706293706294
L205,450,137,0.30444444444444446,0.3471502590673575
L207,96,48,0.5,0.463768115942029
L208,700,164,0.2342857142857143,0.43010752688172044
L209,546,160,0.29304029304029305,0.45789473684210524
L210,395,132,0.3341772151898734,0.5465116279069767
L211,470,142,0.3021276595744681,0.7040816326530612
L213,620,288,0.4645161290322581,0.11331444759206799
L214,420,138,0.32857142857142857,0.391304347826087
L215,446,115,0.257847533632287,0.49640287769784175
L216,460,89,0.1934782608695652,0.5048543689320388
L217,96,22,0.22916666666666666,0.5
L218,520,250,0.4807692307692308,0.05190311418685121
L219,500,205,0.41,0.12341772151898735
L220,70,20,0.2857142857142857,0.5
L221,630,206,0.326984126984127,0.30612244897959184
L222,413,106,0.2566585956416465,0.5114503816793893
L223,299,107,0.35785953177257523,0.2962962962962963
L224,431,82,0.1902552204176334,0.5408163265306123
L225,430,84,0.19534883720930232,0.45098039215686275
L227,450,139,0.3088888888888889,0.45569620253164556
L228,400,84,0.21,0.40594059405940597
L229,440,102,0.2318181818181818,0.6666666666666666
L230,670,122,0.18208955223880596,0.5384615384615384
L231,420,82,0.19523809523809524,0.3958333333333333
L232,420,98,0.23333333333333334,0.47794117647058826
L233,390,91,0.23333333333333334,0.514018691588785
L234,334,61,0.18263473053892215,0.5
L235,399,132,0.3308270676691729,0.38181818181818183
L236,589,156,0.26485568760611206,0.574468085106383
L237,430,125,0.29069767441860467,0.5
L239,76,21,0.27631578947368424,0.8275862068965517
L240,377,147,0.38992042440318303,0.49122807017543857
L241,620,178,0.2870967741935484,0.43722943722943725
L242,71,24,0.3380281690140845,0.5555555555555556
L243,143,41,0.2867132867132867,0.9516129032258065
L244,570,130,0.22807017543859648,0.6103896103896104
L245,480,112,0.23333333333333334,0.6223776223776224
L246,650,162,0.24923076923076923,0.45410628019323673
L247,51,9,0.17647058823529413,0.5
L248,230,40,0.17391304347826086,0.43137254901960786
L250,139,39,0.2805755395683453,0.6086956521739131
L252,410,104,0.25365853658536586,0.4435483870967742
L253,86,22,0.2558139534883721,0.5769230769230769
L254,410,73,0.17804878048780487,0.5882352941176471
L255,430,172,0.4,0.2
L256,75,20,0.26666666666666666,0.7241379310344828
L257,343,136,0.3965014577259475,0.4019138755980861
L258,368,86,0.23369565217391305,0.39316239316239315
M1,203,62,0.3054187192118227,0.5185185185185185
M10,430,90,0.20930232558139536,0.3644859813084112
M100,27,9,0.3333333333333333,0.14285714285714285
M11,428,96,0.22429906542056074,0.4369747899159664
M12,620,133,0.21451612903225806,0.5329341317365269
M13,500,126,0.252,0.44936708860759494
M14,160,24,0.15,0.8518518518518519
M15,67,1,0.014925373134328358,1
M16,490,149,0.3040816326530612,0.44
M17,400,116,0.29,0.950354609929078
M18,439,76,0.17312072892938496,0.5408163265306123
M19,400,158,0.395,0.2966507177033493
M2,400,98,0.245,0.6328125
M20,276,85,0.3079710144927536,0.5942028985507246
M21,400,99,0.2475,0.5923076923076923
M22,214,41,0.19158878504672897,0.3389830508474576
M23,666,116,0.17417417417417416,0.48120300751879697
M24,620,105,0.1693548387096774,0.30327868852459017
M25,620,202,0.3258064516129032,0.46835443037974683
M26,400,90,0.225,0.5655737704918032
M27,540,110,0.2037037037037037,0.518796992481203
M28,420,86,0.20476190476190476,0.4864864864864865
M29,539,116,0.21521335807050093,0.3790849673202614
M3,1290,321,0.24883720930232558,0.3788659793814433
M30,430,149,0.34651162790697676,0.6759259259259259
M31,480,125,0.2604166666666667,0.4523809523809524
M32,420,94,0.22380952380952382,0.5470085470085471
M33,390,104,0.26666666666666666,0.1276595744680851
M34,166,55,0.3313253012048193,0.5064935064935064
M35,649,170,0.26194144838212635,0.37264150943396224
M36,500,97,0.194,0.512
M37,550,113,0.20545454545454545,0.38848920863309355
M38,580,132,0.22758620689655173,0.5371428571428571
M39,385,90,0.23376623376623376,0.8155339805825242
M4,476,112,0.23529411764705882,0.39568345323741005
M40,650,203,0.3123076923076923,0.34901960784313724
M41,560,218,0.3892857142857143,0.19402985074626866
M42,520,110,0.21153846153846154,0.5035460992907801
M43,640,115,0.1796875,0.5514705882352942
M44,480,104,0.21666666666666667,0.2868217054263566
M45,649,155,0.23882896764252695,0.49238578680203043
M46,690,209,0.30289855072463767,0.38661710037174724
M47,480,206,0.42916666666666664,0.9592592592592593
M48,520,123,0.23653846153846153,0.43506493506493504
M49,460,144,0.3130434782608696,0.23699421965317918
M5,410,85,0.2073170731707317,0.5148514851485149
M50,610,188,0.3081967213114754,0.6015625
M51,34,17,0.5,0.058823529411764705
M52,158,46,0.2911392405063291,0.40625
M53,346,104,0.30057803468208094,0.4351145038167939
M54,412,161,0.3907766990291262,0.271356783919598
M55,168,42,0.25,0.9272727272727272
M56,499,179,0.3587174348697395,0.42616033755274263
M57,111,42,0.3783783783783784,0.5957446808510638
M58,332,112,0.3373493975903614,0.8543046357615894
M59,159,38,0.2389937106918239,0.4883720930232558
M6,530,129,0.24339622641509434,0.4934210526315789
M60,390,77,0.19743589743589743,0.44329896907216493
M61,136,47,0.34558823529411764,0.23333333333333334
M62,690,171,0.24782608695652175,0.47715736040609136
M63,650,192,0.2953846153846154,0.60546875
M64,256,131,0.51171875,0.9364161849710982
M65,315,73,0.23174603174603176,0.5632183908045977
M66,36,9,0.25,0.5
M67,160,75,0.46875,0.9891304347826086
M68,57,19,0.3333333333333333,0.47619047619047616
M69,95,39,0.4105263157894737,0.8360655737704918
M7,540,162,0.3,0.27225130890052357
M70,202,86,0.42574257425742573,0.37623762376237624
M71,158,70,0.4430379746835443,0.11494252873563218
M72,390,132,0.3384615384615385,0.42483660130718953
M73,133,48,0.3609022556390977,0.49230769230769234
M74,168,55,0.3273809523809524,0.5138888888888888
M75,348,119,0.34195402298850575,0.36551724137931035
M76,28,7,0.25,0.14285714285714285
M77,458,81,0.17685589519650655,0.43157894736842106
M78,240,64,0.26666666666666666,0.4186046511627907
M79,381,90,0.23622047244094488,0.5233644859813084
M8,599,155,0.2587646076794658,0.2843601895734597
M80,449,81,0.18040089086859687,0.4444444444444444
M81,148,53,0.3581081081081081,0.1111111111111111
M82,679,153,0.22533136966126657,0.5418994413407822
M83,23,1,0.043478260869565216,0
M84,14,3,0.21428571428571427,0.6666666666666666
M85,510,108,0.21176470588235294,0.45454545454545453
M86,600,178,0.2966666666666667,0.5570175438596491
M87,38,8,0.21052631578947367,0.6363636363636364
M88,500,100,0.2,0.847457627118644
M89,45,12,0.26666666666666666,0.8666666666666667
M9,176,32,0.18181818181818182,0.6857142857142857
M90,53,21,0.39622641509433965,1
M91,590,101,0.1711864406779661,0.5245901639344263
M92,303,81,0.26732673267326734,0.6347826086956522
M93,1,NA,NA,NA
M94,118,37,0.3135593220338983,0.42
M95,390,61,0.1564102564102564,0.7738095238095238
M96,134,12,0.08955223880597014,0.8666666666666667
M97,121,13,0.10743801652892562,0.625
M98,119,23,0.19327731092436976,0.5666666666666667
M99,75,24,0.32,0.1875
