cluster_id,tsne_X,tsne_Y,n,effect_size,eff_conf_low,eff_conf_high,is_gendered,gender_bias,t_statistic,mean_gender
1,3.147144151367916,5.729391460451242,28,-0.17954258235416737,-0.56,0.18,FALSE,neither,-0.950050045310921,2.9601664704343276
2,-10.754616099970326,-26.0720001312379,39,0.4929411609418215,0.18,0.9,TRUE,female,3.0784165634098577,3.3369728562036256
3,20.308848458266205,6.954197908681253,21,0.5655404430948903,0.17,1.08,TRUE,female,2.5916318890412002,3.2348574045002616
4,9.596912379388765,-4.247647741155977,22,0.3847747134690091,-0.02,0.9,FALSE,neither,1.8047533800365847,3.0576565591271474
5,-12.807434075989818,1.9368823765064112,14,-0.4619020033650754,-1.23,0.09,FALSE,neither,-1.7282790428566164,2.7134222919937208
6,-21.855690142888285,11.322956712084238,27,-0.3848606593217393,-0.88,-0.03,FALSE,neither,-1.9997946473391275,2.612437687522204
7,-6.367958539227889,-13.678074041727596,20,0.2677291444936428,-0.18,0.69,FALSE,neither,1.1973211332912976,3.1403199741435035
8,4.017549089333723,-0.44337227942437224,42,-0.004299857656486128,-0.29,0.39,FALSE,neither,-0.027866262511750294,2.9849184545613117
9,24.341753405997775,-9.794201669774516,25,0.23199989453139797,-0.16,0.81,FALSE,neither,1.1599994726569898,3.0741214177978886
10,-10.53661056461934,6.849740120479384,18,0.01569531135298214,-0.51,0.53,FALSE,neither,0.06658956654316726,2.9991045991045993
11,25.5928060950008,-4.759324761148454,29,0.6433680225847761,0.37,1,TRUE,female,3.4646428332592527,3.2299473768287155
12,18.853167431868734,3.5058124904798302,17,-0.28773544802039164,-0.83,0.19,FALSE,neither,-1.1863636444224945,2.931566155874114
13,6.186662214415019,22.050941671356274,21,1.3309607276826592,0.9,2.1,TRUE,female,6.099228281619292,3.7128684807256236
14,-6.660834832285792,15.297089283152452,15,0.0033656297713942833,-0.57,0.52,FALSE,neither,0.013035028054109936,2.9887912087912087
15,31.93165102060964,-1.1383360167924976,17,0.2712320971830073,-0.24,0.67,FALSE,neither,1.1183185857433333,3.165315537979898
16,-14.311382984628409,23.18769825269345,17,2.3015620143849618,1.5,9.87,TRUE,female,9.489583289218551,4.4991704374057315
17,-2.936192298126045,-17.463381954408092,20,-0.8869546022030812,-1.42,-0.52,TRUE,male,-3.966581566964749,2.4760218702865764
18,22.158107502910184,0.16718543583253173,16,0.6199377666177208,0.18,1.17,TRUE,female,2.4797510664708833,3.2488839285714284
19,-19.554962425011052,12.77932214335969,29,-1.0144927554533907,-1.8,-0.54,TRUE,male,-5.46321068376051,2.085255481502946
20,15.14813931498354,-7.736921420952882,34,0.014040193016629872,-0.32,0.35,FALSE,neither,0.0818676900743117,2.995234055160526
21,3.7495969118018015,-10.577484191854069,34,-0.6673848406373422,-1.05,-0.37,TRUE,male,-3.891488901105339,2.783633645765999
22,14.499619767383964,1.1442677323102142,20,-0.07587763228651094,-0.62,0.33,FALSE,neither,-0.3393350875287425,2.9694871794871793
23,13.326521544281611,-2.806188470807827,34,0.7939375840006275,0.49,1.27,TRUE,female,4.629411859817358,3.130783569083742
24,4.216794497634061,15.589905589717306,20,0.5358635832343838,0.12,1.12,TRUE,female,2.3964547975573973,3.200282266752855
25,20.881811194289156,19.063994527606713,10,-0.45315899906733376,-1.2,0.21,FALSE,neither,-1.433014579254893,2.7275274725274725
26,18.702695550674942,-0.5409793655961604,16,0.384424773484525,-0.12,1.04,FALSE,neither,1.5376990939381,3.110668498168498
27,6.761086950856295,3.612132754624354,35,-0.1925357597174977,-0.55,0.14,FALSE,neither,-1.1390569155884138,2.93712715855573
28,-17.71696651378532,-13.045294124905585,8,0.2035696968992819,-0.43,2.75,FALSE,neither,0.5757820524862892,3.032875457875458
29,1.877749955524767,21.212854023869085,15,0.6517802664817083,0.15,1.7,TRUE,female,2.5243341174702887,3.5901738131149896
30,-12.825308937101289,18.07109047842124,10,-1.5950247564639735,-3.82,-0.93,TRUE,male,-5.043911154781533,1.856304137039431
31,11.085360254590563,-18.43422071077201,18,-0.8935006952497664,-1.47,-0.48,TRUE,male,-3.7908024036360284,2.6054232804232806
32,7.424652082940698,-8.132119615133245,28,-0.34790268885589115,-0.71,-0.0019,FALSE,neither,-1.8409279903267408,2.896532555329824
33,-8.774839647223406,24.975754485903447,29,0.19138515827079933,-0.18,0.63,FALSE,neither,1.0306406189277757,3.270869171102878
34,25.699334398282073,-1.2518611968931583,17,0.8497014495632108,0.48,1.43,TRUE,female,3.5034088267895553,3.385757379875027
35,-18.19459150549288,23.04770205776309,23,3.58132658419866,2.51,9.03,TRUE,female,17.175438927777797,4.629813196181483
36,-8.833367192851561,-18.531608594999398,41,0.14307026608972173,-0.16,0.48,FALSE,neither,0.9160966884550643,3.0617719977296733
37,-20.617851743469494,-10.866289574547764,10,1.8765162149442471,1.42,3.24,TRUE,female,5.934065305461918,3.731512605042017
38,7.2781341272454885,9.12804328770958,39,-0.2067447335398065,-0.47,0.1,FALSE,neither,-1.2911204471355016,2.926647177608716
39,-28.037565752193995,-14.286726875273315,13,-0.21917060863117355,-0.88,0.33,FALSE,neither,-0.7902308674943467,2.9125459947292525
40,-15.150219862010044,6.949045918634804,24,0.16113004464614658,-0.24,0.56,FALSE,neither,0.7893727832298632,3.1188442684766216
41,-22.140661990574852,16.59846248808799,46,-3.0683576573268194,-4.63,-2.28,TRUE,male,-20.81061413823969,1.4921935747543165
42,0.360554227960383,-14.315531814197884,21,-0.42538864087531975,-0.98,-0.0026,FALSE,neither,-1.9493756465855385,2.7815345368916797
43,-2.332650811724811,-29.15179546394342,40,0.08107141154762863,-0.24,0.4,FALSE,neither,0.5127406272307655,3.0222094510881274
44,21.259320953851105,-4.432871961358077,45,0.29934656639786333,0.05,0.55,FALSE,neither,2.008077813890331,3.0928011803011803
45,-18.634449390750394,-0.746337997888335,14,0.19902218644925393,-0.33,0.89,FALSE,neither,0.7446728340597516,3.1599351278973127
46,-5.026080294059418,8.482747500153847,20,0.32159329659229563,-0.11,0.95,FALSE,neither,1.438208944577249,3.1463052143934496
47,-3.8484360093183443,-23.637819885395768,23,-0.01299968434341559,-0.41,0.44,FALSE,neither,-0.06234429596726729,2.9792636285283343
48,-7.888015941237804,-4.035660211935425,26,-0.3099673073907119,-0.77,0.06,FALSE,neither,-1.5805293489610528,2.874129725854839
49,-20.06119965635683,3.627206064063758,17,-1.1217859784525481,-2.26,-0.56,TRUE,male,-4.625242078496713,2.4530489118724415
50,2.50496617977226,-20.861536261716406,40,-1.2345485446052105,-1.62,-0.93,TRUE,male,-7.807970565996887,2.326531458737341
51,2.3948480527114047,10.101871596059084,25,-0.7116823168034442,-1.27,-0.32,TRUE,male,-3.5584115840172212,2.7014432234432233
52,-17.11464360059473,15.430072053897911,19,-0.5709817302694099,-1.39,-0.11,TRUE,male,-2.4888516608523568,2.2699730094466934
53,7.6631600976022085,-22.82319423129206,19,-0.5626688448825037,-1.43,-0.08,TRUE,male,-2.4526166335215964,2.6279647081504667
54,-7.385530713649076,18.914405090772338,25,-0.015582654303663965,-0.43,0.41,FALSE,neither,-0.07791327151831984,2.961941391941392
55,9.976532764828807,-12.375672100845499,23,-0.46769180673358735,-0.91,-0.09,TRUE,male,-2.242971109928018,2.826558767319637
56,6.766490428216618,-28.12028568835101,22,0.21982455575060147,-0.21,0.67,FALSE,neither,1.0310685606888053,3.0953534210887153
57,0.23381392533189893,1.5346550446736034,26,0.04610702211737597,-0.41,0.4,FALSE,neither,0.23510060549015419,3.006856115227156
58,-16.364088044625987,-19.406371249263636,26,0.2118780248377571,-0.19,0.65,FALSE,neither,1.0803701831492203,3.1438996900535363
59,14.122353151879363,18.6631236122701,9,-0.45854273485984,-1.57,0.17,FALSE,neither,-1.37562820457952,2.824664224664225
60,-25.66747202277634,-2.064951913112897,14,-0.2946790393746079,-1.06,0.21,FALSE,neither,-1.1025880044034506,2.801883830455259
61,-0.7826570014412823,7.162004696670039,22,0.4461346797734915,0.24,0.93,TRUE,female,2.0925571330133637,3.166150148870737
62,15.956510737111204,5.397261024017019,17,-0.3201923346458672,-0.85,0.15,FALSE,neither,-1.320186816258028,2.865223012281836
63,10.823860984064115,23.964928258756974,3,-0.04689218484535864,NA,NA,FALSE,neither,-0.0812196466300725,2.9623931623931625
64,-12.666929526105358,-4.204069157585752,19,-0.28507435679515974,-0.82,0.14,FALSE,neither,-1.2426103126649588,2.7770821283979177
65,12.197409106036197,19.66861463760073,9,-0.36975416646238873,-1.65,0.26,FALSE,neither,-1.1092624993871663,2.7185795685795684
66,-1.2423510814641063,18.420108175369272,24,0.18000464051858595,-0.22,0.56,FALSE,neither,0.8818390412072991,3.136476850355527
67,-26.602746847527204,4.067524190853769,19,-0.1801162934444814,-1.01,0.23,FALSE,neither,-0.7851087212096121,2.8782221390580522
68,1.0229333040510973,-5.710690173292195,39,-0.30900759197376887,-0.71,0.02,FALSE,neither,-1.9297517933660957,2.87531498792811
69,28.741414193694016,6.70339375185514,34,0.22552354949105985,-0.12,0.67,FALSE,neither,1.3150169682371333,3.1243028885762447
70,-2.502022953727843,-10.222587402226072,22,0.3152523547031486,-0.11,0.86,FALSE,neither,1.4786646128210938,3.2106018981018982
71,6.0878084545571385,-2.818236984560634,36,0.047903282222479075,-0.29,0.4,FALSE,neither,0.28741969333487444,2.9942016657090185
72,18.139633220107193,-15.79746882873025,18,-0.15888774425218544,-0.65,0.36,FALSE,neither,-0.6741036084489253,2.9131024204553615
73,17.662746121332844,14.923674816398833,16,0.14664951605510637,-0.34,0.75,FALSE,neither,0.5865980642204255,3.0497650021547082
74,-8.381311019544627,-8.69186482945403,28,-0.612124690631101,-1.02,-0.3,TRUE,male,-3.2390594055444852,2.6536613683935113
75,-1.3323854446459957,12.759112081262002,23,-1.3509815949338584,-2.19,-0.92,TRUE,male,-6.479080120399094,1.9916798993845028
76,-21.239479791539612,-7.908909944313527,17,0.8298250506713217,0.33,1.89,TRUE,female,3.4214563347013867,3.4532770574293066
77,9.951933424453589,14.883877716208502,15,-0.975880635056019,-1.43,-0.73,TRUE,male,-3.77956944745828,2.4078907203907205
78,-10.272405424486275,10.825228438709845,26,0.6657368352648738,0.32,1.12,TRUE,female,3.3946051139330975,3.320174282730844
79,-7.961371440274353,-0.3535218433505236,22,-0.14579368565108938,-0.65,0.27,FALSE,neither,-0.6838330008606127,2.9117132867132867
80,5.131881792038964,-15.157865123074606,21,-0.6210728677411456,-1.11,-0.27,TRUE,male,-2.846113428507097,2.7836494854351996
81,11.704819004272919,9.26341566374672,27,-0.1609122662115359,-0.61,0.21,FALSE,neither,-0.8361246619182867,2.9128700910563654
82,16.95108457879906,-4.011147691682262,28,0.04615827243445526,-0.39,0.39,FALSE,neither,0.2442466196198731,3.001522435897436
83,9.82397905967916,0.3691410522325908,23,0.10214749400566277,-0.36,0.51,FALSE,neither,0.4898821717797545,3.0173833412963846
84,-24.17689748607255,0.9876258867309852,21,-0.16537562403651843,-0.69,0.25,FALSE,neither,-0.7578463152479041,2.8552699284842142
85,-23.012912497728976,-12.739389817513398,22,0.3512995607361127,-0.06,0.77,FALSE,neither,1.647740996095711,3.156903023447141
86,-27.476967986388264,0.9829744384632728,23,-0.5317315276513384,-1.27,-0.07,TRUE,male,-2.550094822249518,2.667859133620003
87,16.74435882729569,10.036069314752144,18,0.15721475368698937,-0.33,0.61,FALSE,neither,0.6670057106078578,3.06118951854246
88,-2.081331975643503,24.76081472110879,20,0.6049336811258638,0.09,2.02,TRUE,female,2.705345665753226,3.4721848739495798
89,-26.242169970660868,-9.976489157042328,43,0.43616047361381066,0.15,0.8,TRUE,female,2.8600954924530084,3.2100604821535055
90,-2.07235245413721,-2.365254611931769,22,-0.5825036993913978,-0.98,-0.23,TRUE,male,-2.7321845317808613,2.709982541967836
91,-16.700065354017323,-5.6474167052919615,10,0.2585939001008661,-0.45,0.98,FALSE,neither,0.8177457133447825,3.082967032967033
92,-4.770808192113096,3.0240149080885885,28,0.12959959382940506,-0.25,0.54,FALSE,neither,0.6857765905751737,3.04533496090744
93,21.82907672777038,10.203752996703168,16,-0.169910096783785,-0.68,0.38,FALSE,neither,-0.67964038713514,2.8906788677009265
94,-24.93922535913349,7.228075583447771,28,0.43503006444159464,0.06,0.8,TRUE,female,2.3019627266977247,3.2982186143688246
95,11.896894586763958,4.54525350037572,25,0.11265486849001849,-0.31,0.52,FALSE,neither,0.5632743424500924,3.0319725274725275
96,24.509469348773276,4.168336143233768,25,0.7356610540539251,0.43,1.14,TRUE,female,3.6783052702696253,3.1586153846153846
97,26.469467763728698,13.100358808658582,37,-0.8260760146989312,-1.21,-0.54,TRUE,male,-5.02482422938874,2.6814475270357625
98,-12.723280031879137,-13.964385844617205,21,0.4150317518966638,-0.05,0.98,FALSE,neither,1.9019144188765937,3.251953601953602
99,-17.96101768363447,-8.158548839715621,10,0.7501526448642052,0.13,2.05,TRUE,female,2.3721909505703,3.605649644473174
100,-16.459493746450573,25.09690161243883,29,2.9038796635470026,1.54,17.29,TRUE,female,15.637870568286905,4.746828492670278
