book_id,our_title,ibdb_title,ibdb_title_alt,author
M30,A BAD CASE OF STRIPES,NA,NA,DAVID SHANNON
M65,A SICK DAY FOR AMOS MCGEE,NA,NA,PHILIP C. STEAD
M29,"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY",NA,NA,JUDITH VIORST
L182,ALLIGATOR PIE,alligator pie,NA,DENNIS LEE
L201,AMELIA BEDELIA,amelia bedelia,NA,PEGGY PARISH
M90,ANGELINA ICE SKATES,NA,NA,KATHARINE HOLABIRD
L258,ANIMALIA,NA,NA,GRAEME BASE
L114,ARE YOU A COW?,are you a cow?,NA,SANDRA BOYNTON
M38,ARE YOU MY MOTHER?,are you my mother?,NA,P.D. EASTMAN
M98,ARNIE THE DOUGHNUT,NA,NA,LAURIE KELLER
M83,ARTHUR WRITES A STORY,NA,NA,MARC BROWN
L131,ARTHUR'S NOSE,NA,NA,MARC BROWN
L207,B IS FOR BEAR,b is for bear,NA,ROGER PRIDDY
L189,"BABY BEAR, BABY BEAR, WHAT DO YOU SEE?","baby bear, baby bear, what do you see?",NA,BILL MARTIN JR AND ERIC CARLE
L210,BABY BELUGA,baby beluga,NA,RAFFI
L176,BABY TOUCH AND FEEL: ANIMALS,touch and feel animals,NA,DORLING KINDERSLEY (PUBLISHER)
M1,"BARK, GEORGE",NA,NA,JULES FEIFFER
L115,BARNYARD DANCE,barnyard dance!,NA,SANDRA BOYNTON
L252,BEAR SNORES ON,bear snores on,NA,KARMA WILSON
M74,BEAR WANTS MORE,NA,NA,KARMA WILSON
L116,BELLY BUTTON BOOK,belly button book!,NA,SANDRA BOYNTON
L132,BIG RED BARN,big red barn,NA,MARGARET WISE BROWN
L194,"BIG SHARK, LITTLE SHARK",NA,NA,ANNA MEMBRINO
L117,"BLUE HAT, GREEN HAT","blue hat, green hat",NA,SANDRA BOYNTON
M2,BLUEBERRIES FOR SAL,blueberries for sal,NA,ROBERT MCCLOSKEY
L191,"BOB BOOKS, SET 1: BEGINNING READERS",NA,NA,BOBBY LYNN MASLEN
L239,BRAVE IRENE,NA,NA,WILLIAM STEIG
M92,BREAD AND JAM FOR FRANCES,bread and jam for frances,NA,RUSSELL HOBAN
M3,"BROWN BEAR, BROWN BEAR, WHAT DO YOU SEE?","brown bear, brown bear, what do you see?",NA,BILL MARTIN JR
M84,BUNNY PARTY,NA,NA,ROSEMARY WELLS
L118,BUT NOT THE HIPPOPOTAMUS,but not the hippopotamus,NA,SANDRA BOYNTON
M11,CAPS FOR SALE,caps for sale,NA,ESPHYR SLOBODKINA
L219,CARS AND TRUCKS AND THINGS THAT GO,busytown: cars and trucks and things that go,NA,RICHARD SCARRY
M73,CHARLIE AND THE NEW BABY,NA,NA,REE DRUMMOND
M75,CHICKA CHICKA 1-2-3,chicka chicka 123,NA,BILL MARTIN JR
M46,CHICKA CHICKA BOOM BOOM,chicka chicka boom boom,NA,BILL MARTIN
M39,CHRYSANTHEMUM,chrysanthemum,NA,KEVIN HENKES
L183,CHUGGA-CHUGGA CHOO-CHOO,chugga-chugga choo-choo,NA,KEVIN LEWIS
M4,"CLICK, CLACK, MOO COWS THAT TYPE","click, clack, moo: cows that type",NA,DOREEN CRONIN
M76,CLIFFORD AT THE CIRCUS,NA,NA,NORMAN BRIDWELL
L130,CLIFFORD THE BIG RED DOG,clifford the big red dog,NA,NORMAN BRIDWELL
M5,CLOUDY WITH A CHANCE OF MEATBALLS,cloudy with a chance of meatballs,NA,JUDI BARRETT
M6,CORDUROY,corduroy,NA,DON FREEMAN
M7,CURIOUS GEORGE,curious george,NA,H.A. REY
M49,CURIOUS GEORGE TAKES A JOB,NA,NA,H.A. RAY
M25,DEAR ZOO,dear zoo,NA,ROD CAMPBELL
L156,DIARY OF A WOMBAT,diary of a wombat,NA,JACKIE FRENCH
M51,DINOSAUR RESCUE,NA,NA,PENNY DALE
L119,DOGGIES,doggies,NA,SANDRA BOYNTON
L163,DOGS,dogs,NA,EMILY GRAVETT
M31,DON'T LET THE PIGEON DRIVE THE BUS,don't let the pigeon drive the bus!,NA,MO WILLEMS
L224,DR. SEUSS'S ABC,dr. seuss's abc,NA,DR. SEUSS
M40,DRAGONS LOVE TACOS,dragons love tacos,NA,ADAM RUBIN
M52,DUCK ON A BIKE,NA,NA,DAVID SHANNON
L101,EACH PEACH PEAR PLUM,each peach pear plum,NA,JANET AND ALLAN AHLBERG
L250,ELEPHANT AND PIGGY: TODAY I WILL FLY!,NA,NA,MO WILLIEMS
L243,ELOISE,eloise,NA,KAY THOMPSON
L162,EVERYONE POOPS,everyone poops,NA,TARO GOMI
L109,EXTRA YARN,extra yarn,NA,MAC BARNETT
L208,FIRST 100 WORDS,NA,NA,ROGER PRIDDY
L225,FOX IN SOCKS,fox in socks,NA,DR. SEUSS
L184,FROG AND TOAD,frog and toad,NA,ARNOLD LOBEL
M66,FROGGY GOES TO BED,froggy goes to bed,NA,JONATHAN LONDON
L138,FROM HEAD TO TOE,from head to toe,NA,ERIC CARLE
M94,GEORGE AND MARTHA,george and martha,NA,JAMES MARSHALL
L104,GIRAFFES CAN'T DANCE,giraffes can't dance,NA,GILES ANDREAE
L153,"GO, DOG. GO!",go dog. go!,"go, dog. go!",P.D. EASTMAN
L165,GOD BLESS YOU AND GOOD NIGHT,NA,NA,HANNAH HALL
M67,GOLDILICIOUS,NA,NA,VICTORIA KANN
L143,"GOOD DOG, CARL","good dog, carl",NA,ALEXANDRA DAY
M16,GOOD NIGHT GORILLA,"good night, gorilla",NA,PEGGY RATHMAN
M45,GOODNIGHT MOON,goodnight moon,NA,MARGARET WISE BROWN
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE","goodnight, goodnight construction site",NA,SHERRI DUSKEY RINKER AND TOM LICHTENHELD
L217,GRANDFATHER'S JOURNEY,NA,NA,ALLEN SAY
L185,GRANDMA WISHES,NA,NA,JULIA LOBO
M48,GREEN EGGS AND HAM,green eggs and ham,NA,DR. SEUSS
L242,GRUMPY BIRD,grumpy bird,NA,JEREMY TANKARD
M12,GUESS HOW MUCH I LOVE YOU,guess how much i love you,NA,SAM MCBRATNEY
L205,"HAND, HAND, FINGERS, THUMB","hand, hand, fingers, thumb",NA,AL PERKINS
L227,"HAPPY BIRTHDAY, BABY!",NA,NA,DR. SEUSS
M13,HAROLD AND THE PURPLE CRAYON,harold and the purple crayon,NA,CROCKETT JOHNSON
M53,HARRY THE DIRTY DOG,harry the dirty dog,NA,GENE ZION
L129,"HELLO, ROCK",NA,NA,ROGER BRADFIELD
L120,HIPPOS GO BERSERK,hippos go berserk!,NA,SANDRA BOYNTON
L228,HOP ON POP,hop on pop,NA,DR. SEUSS
L121,HORNS TO TOES AND IN BETWEEN,horns to toes and in between,NA,SANDRA BOYNTON
M91,HORTON HEARS A WHO!,horton hears a who!,NA,DR. SEUSS
M54,HOW DO DINOSAURS SAY GOOD NIGHT?,how do dinosaurs say good night?,NA,JANE YOLEN & MARK TEAGUE
L255,HOW DO DINOSAURS SAY HAPPY BIRTHDAY?,NA,NA,JANE YOLEN AND MARK TEAGUE
L167,HOW ROCKET LEARNED TO READ,NA,NA,TAD HILLS
L211,HOW TO BABYSIT A GRANDMA,NA,NA,JEAN REAGAN
L170,HOW TO CATCH A STAR,how to catch a star,NA,OLIVER JEFFERS
M71,HOW TO TRAIN A TRAIN,NA,NA,JASON CARTER EATON
L102,HUG,hug,NA,JEZ ALBOROUGH
L139,I AM A BIG SISTER!,i'm a big sister,NA,CAROLINE JAYNE CHURCH
L214,I AM A BUNNY,i am a bunny,NA,OLE RISOM AND RICHARD SCARRY
L159,I LOVE MY MOMMY BECAUSE,i love my mommy because...,NA,LAUREL PORTER-GAYLORD
L235,I LOVE YOU THROUGH AND THROUGH,i love you through and through,NA,BERNADETTE ROSSETTI-SHUSTAK
L193,"I LOVE YOU, STINKY FACE","i love you, stinky face",NA,LISA MCCOURT
L177,I WANT MY HAT BACK,i want my hat back,NA,JON KLASSEN
L216,I WISH YOU MORE,NA,NA,AMY KROUSE ROSENTHAL AND TOM LICHTENHELD
M47,I'M A BIG SISTER,i'm a big sister,NA,JOANNA COLE
L204,IF ANIMALS KISSED GOOD NIGHT,if animals kissed good night,NA,ANN WHITFORD PAUL
L202,"IF YOU EVER WANT TO BRING A PIANO TO THE BEACH, DON'T!",NA,NA,ELISE PARSLEY
M85,IF YOU GIVE A MOOSE A MUFFIN,if you give a moose a muffin,NA,LAURA JOFFE NUMEROFF
M42,IF YOU GIVE A MOUSE A COOKIE,if you give a mouse a cookie,NA,LAURA JOFFE NUMEROFF
L223,IN THE NIGHT KITCHEN,in the night kitchen,NA,MAURICE SENDAK
L146,JAMBERRY,jamberry,NA,BRUCE DEGEN
L106,JENNY AND THE CAT CLUB,NA,NA,ESTHER AVERILL
L192,JUST ME AND MY DAD,just me and my dad,NA,MERCER MAYER
L136,KATY AND THE BIG SNOW,katy and the big snow,NA,VIRGINIA LEE BURTON
L240,"KINDERGARTEN, HERE I COME!",NA,NA,D.J. STEINBERG
M63,KNUFFLE BUNNY,knuffle bunny,NA,MO WILLEMS
M64,LADYBUG GIRL AT THE BEACH,NA,NA,DAVID SOMAN AND JACKY DAVIS
L179,LIBRARY LION,NA,NA,MICHELLE KNUDSEN
M55,LILLY'S PURPLE PLASTIC PURSE,lily's purple plastic purse,NA,KEVIN HENKES
L196,LITTLE BEAR: WHAT WILL LITTLE BEAR WEAR?,NA,NA,ELSE HOLMELUND MINARIK
L221,LITTLE BLUE TRUCK,little blue truck,NA,ALICE SCHERTLE
M41,LITTLE BLUE TRUCK LEADS THE WAY,little blue truck leads the way,NA,ALICE SCHERTLE
L237,LITTLE OWL'S NIGHT,little owl's night,NA,DIVYA SRINIVASAN
M70,LLAMA LLAMA HOME WITH MAMA,NA,NA,ANNA DEWDNEY
L147,LLAMA LLAMA NIGHTY-NIGHT,llama llama nighty-night,NA,ANNA DEWDNEY
M56,LLAMA LLAMA RED PAJAMA,llama llama red pajama,NA,ANNA DEWDNEY
L256,LON PO PO: A RED RIDING HOOD STORY FROM CHINA,NA,NA,ED YOUNG
L171,LOST AND FOUND,lost and found,NA,OLIVER JEFFERS
M8,LOVE YOU FOREVER,love you forever,NA,ROBERT MUNSCH
M17,MADELINE,madeline,NA,LUDWIG BEMELMANS
M68,MAISY GOES CAMPING,NA,NA,LUCY COUSINS
M57,MAISY GOES TO THE LIBRARY,NA,NA,LUCY COUSINS
M18,MAKE WAY FOR DUCKLINGS,make way for ducklings,NA,ROBERT MCCLOSKEY
L169,MAMA DON'T ALLOW,NA,NA,THACHER HURD
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NA,NA,NICKELODEON PUBLISHING
M33,MIKE MULLIGAN AND HIS STEAM SHOVEL,mike mulligan and his steam shovel,NA,VIRGINIA LEE BURTON
L157,MILLIONS OF CATS,millions of cats,NA,WANDA GAG
L103,MISS NELSON IS MISSING,NA,NA,HARRY ALLARD
M95,MISS RUMPHIUS,NA,NA,BARBARA COONEY
L122,"MOO, BAA, LA LA LA!","moo, baa, la la la!",NA,SANDRA BOYNTON
L198,MORTIMER,mortimer,NA,ROBERT MUNSCH
L229,MR. BROWN CAN MOO! CAN YOU?,mr. brown can moo! can you?,NA,DR. SEUSS
L164,MVP: MOST VALUABLE PUPPY,NA,NA,MIKE GREENBERG & STACY STEPONATE GREENBERG
L123,"NIGHT-NIGHT, LITTLE POOKIE","night-night, little pookie",NA,SANDRA BOYNTON
M19,"NO, DAVID!","no, david!",NA,DAVID SHANNON
L209,"NUMBERS, COLORS, SHAPES",NA,NA,ROGER PRIDDY
L124,OH MY OH MY OH MY DINOSAURS!,oh my oh my oh dinosaurs!,NA,SANDRA BOYNTON
M43,"OH, THE PLACES YOU'LL GO","oh, the places you'll go!",NA,DR. SEUSS
L230,"OH, THE THINKS YOU CAN THINK!","oh, the thinks you can think!",NA,DR. SEUSS
M58,OLIVIA,olivia,NA,IAN FALCONER
M69,OLIVIA. . . AND THE MISSING TOY,NA,NA,IAN FALCONER
L244,ON THE NIGHT YOU WERE BORN,on the night you were born,NA,NANCY TILLMAN
L231,ONE FISH TWO FISH RED FISH BLUE FISH,one fish two fish red fish blue fish,NA,DR. SEUSS
M20,OWL MOON,owl moon,NA,JANE YOLEN
L178,P IS FOR POTTY!,NA,NA,NAOMI KLEINBERG
L125,PAJAMA TIME!,pajama time!,NA,SANDRA BOYNTON
L180,PAT THE BUNNY,pat the bunny,NA,DOROTHY KUNHARDT
L145,PETE THE CAT: ROCKING IN MY SCHOOL SHOES,pete the cat: rocking in my school shoes,NA,JAMES DEAN AND ERIC LITWIN
M72,PETE THE CAT: THE WHEELS ON THE BUS,pete the cat: the wheels on the bus,NA,JAMES DEAN
L190,"POLAR BEAR, POLAR BEAR, WHAT DO YOU HEAR?","polar bear, polar bear, what do you hear?",NA,BILL MARTIN JR. AND ERIC CARLE
L203,POTTY,potty,NA,LESLIE PATRICELLI
L246,PRESS HERE,press here,NA,HERVE TULLET
L161,PUPPY BIRTHDAY TO YOU! (PAW PATROL),NA,NA,GOLDEN BOOKS (PUBLISHER)
L220,RAIN MAKES APPLESAUCE,NA,NA,JULIAN SCHEER
L173,"SAYONARA, MRS. KACKLEMAN",NA,NA,MAIRA KALMAN
L141,SHE PERSISTED: 13 AMERICAN WOMEN WHO CHANGED THE WORLD,NA,NA,CHELSEA CLINTON
M93,SHOW DOG,NA,NA,MEGHAN MCCARTHY
L144,SLOW LORIS,NA,NA,ALEXIS DEACON
L126,SNUGGLE PUPPY,snuggle puppy!,NA,SANDRA BOYNTON
L140,SOMETIMES I LIKE TO CURL UP IN A BALL,sometimes i like to curl up in a ball,NA,VICKI CHURCHILL
L149,SPAGHETTI IN A HOT DOG BUN: HAVING THE COURAGE TO BE WHO YOU ARE,NA,NA,MARIA DISMONDY
L110,SQUARE,NA,NA,MAC BARNETT AND JON KLASSEN
M21,STELLALUNA,stellaluna,NA,JANELL CANNON
M22,SYLVESTER AND THE MAGIC PEBBLE,NA,NA,WILLIAM STEIG
L155,TEN LITTLE FINGERS AND TEN LITTLE TOES,ten little fingers and ten little toes,NA,MEM FOX AND HELEN OXENBURY
L160,TEN LITTLE LADYBUGS,ten little ladybugs,NA,MELANIE GERTH
M86,THAT IS NOT A GOOD IDEA!,NA,NA,MO WILLEMS
M87,THE BERENSTAIN BEARS AND THE GREEN-EYED MONSTER,NA,NA,STAN & JAN BERENSTAIN
M59,THE BERENSTAIN BEARS FORGET THEIR MANNERS,NA,NA,STAN & JAN BERENSTAIN
L113,THE BIG HONEY HUNT,NA,NA,STANLEY AND JANICE BERENSTAIN
M9,THE CARROT SEED,the carrot seed,NA,RUTH KRAUSS
M77,THE CAT IN THE HAT,the cat in the hat,NA,DR. SEUSS
L133,THE COLOR KITTENS,the color kittens,NA,MARGARET WISE BROWN
M82,THE DAY THE CRAYONS QUIT,the day the crayons quit,NA,DREW DAYWALT
M78,THE DUCKLING GETS A COOKIE!?,NA,NA,MO WILLEMS
L172,THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE,the fantastic flying books of mr. morris lessmore,NA,WILLIAM JOYCE
L232,THE FOOT BOOK,the foot book,NA,DR. SEUSS
L247,THE GARDEN OF ABDUL GASAZI,NA,NA,CHRIS VAN ALLSBURG
M96,THE GARDENER,NA,NA,SARAH STEWART
M23,THE GIVING TREE,the giving tree,NA,SHEL SILVERSTEIN
L127,THE GOING TO BED BOOK,the going to bed book,NA,SANDRA BOYNTON
M79,THE GROUCHY LADYBUG,the grouchy ladybug,NA,ERIC CARLE
L150,THE GRUFFALO,the gruffalo,NA,JULIA DONALDSON
L151,THE GRUFFALO'S CHILD,the gruffalo's child,NA,JULIA DONALDSON
M97,THE HAT,NA,NA,JAN BRETT
L134,THE IMPORTANT BOOK,the important book,NA,MARGARET WISE BROWN
M14,THE KEEPING QUILT,NA,NA,PATRICIA POLACCO
M44,THE LITTLE ENGINE THAT COULD,the little engine that could,NA,WATTY PIPER
M26,THE LITTLE HOUSE,NA,NA,VIRGINIA LEE BURTON
M27,THE LORAX,the lorax,NA,DR. SEUSS
L241,THE MONSTER AT THE END OF THIS BOOK,the monster at the end of this book,NA,JON STONE
M32,THE NAPPING HOUSE,the napping house,NA,AUDREY WOOD
L253,THE NIGHT BEFORE MOTHER'S DAY,NA,NA,NATASHA WING
M15,THE OTHER SIDE,NA,NA,JACQUELINE WOODSON
M88,THE PAPER BAG PRINCESS,the paper bag princess,NA,ROBERT N. MUNSCH
M50,THE PIGEON FINDS A HOT DOG!,the pigeon finds a hot dog!,NA,MO WILLEMS
L186,THE POKY LITTLE PUPPY,the poky little puppy,NA,JANETTE SEBRING LOWRY
M24,THE POLAR EXPRESS,the polar express,NA,CHRIS VAN ALLSBURG
L148,THE POUT-POUT FISH,the pout-pout fish,NA,DEBORAH DIESEN
L254,THE REAL MOTHER GOOSE,NA,NA,BLANCHE FISHER WRIGHT
L181,THE RED BALLOON,NA,NA,ALBERT LAMORISSE
M28,THE RUNAWAY BUNNY,the runaway bunny,NA,MARGARET WISE BROWN
M10,THE SNOWY DAY,the snowy day,NA,EZRA JACK KEATS
L222,THE STINKY CHEESE MAN AND OTHER FAIRLY STUPID TALES,the stinky cheese man,NA,JON SCIESZKA
M34,THE STORY OF BABAR,NA,NA,JEAN DE BRUNHOFF
M37,THE STORY OF FERDINAND,the story of ferdinand,NA,MUNRO LEAF
M36,THE TALE OF PETER RABBIT,the tale of peter rabbit,NA,BEATRIX POTTER
L199,THE THREE QUESTIONS,NA,NA,JOHN J. MUTH
M80,THE TRUE STORY OF THE 3 LITTLE PIGS!,the true story of the 3 little pigs!,NA,JON SCIESZKA
M62,THE VERY HUNGRY CATERPILLAR,the very hungry caterpillar,NA,ERIC CARLE
L257,THE WHEELS ON THE BUS,the wheels on the bus,NA,PAUL O. ZELINSKY
L188,THE WONDERFUL THINGS YOU WILL BE,NA,NA,EMILY WINFIELD MARTIN
L233,THERE'S A WOCKET IN MY POCKET!,there's a wocket in my pocket!,NA,DR. SEUSS
M61,THERE'S AN ALLIGATOR UNDER MY BED,NA,NA,MERCER MAYER
M60,THIS IS NOT MY HAT,this is not my hat,NA,JON KLASSEN
L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!","thomas and friends: go, train, go!",NA,REVEREND AWDRY
L108,THOMAS THE TANK ENGINE: THE VERY FIRST STORIES,NA,NA,REVEREND W AWDRY
L128,TICKLE TIME,tickle time!,NA,SANDRA BOYNTON
L197,TIKKI TIKKI TEMBO,tiki tiki tembo,NA,ARLENE MOSEL
L154,TIME FOR BED,time for bed,NA,MEM FOX
L142,TODAY I'LL BE A PRINCESS,NA,NA,PAULA CROYLE
M100,TRAIN,NA,NA,ELISHA COOPER
M81,TRASHY TOWN,trashy town,NA,ANDREA ZIMMERMAN AND DAVID CLEMESHA
L111,TRIANGLE (SHAPE TRILOGY),NA,NA,MAC BARNETT AND JON KLASSEN
L248,TUESDAY,NA,NA,DAVID WIESNER
L215,WE'RE GOING ON A BEAR HUNT,we're going on a bear hunt,NA,MICHAEL ROSEN
L187,WELCOME LITTLE ONE,NA,NA,SANDRA MAGSAMEN
M99,WHEN DINOSAURS CAME WITH EVERYTHING,NA,NA,ELISE BROACH
L218,WHERE DO DIGGERS SLEEP AT NIGHT?,NA,NA,BRIANNA CAPLAN SAYRES
L174,WHERE IS BABY'S BELLY BUTTON,where is baby's belly button?,NA,KAREN KATZ
L168,WHERE IS THE GREEN SHEEP?,where is the green sheep?,NA,MEM FOX AND JUDY HORACEK
L236,WHERE THE SIDEWALK ENDS,where the sidewalk ends,NA,SHEL SILVERSTEIN
M35,WHERE THE WILD THINGS ARE,where the wild things are,NA,MAURICE SENDAK
L166,WHERE'S SPOT?,where's spot?,NA,ERIC HILL
L245,WHEREVER YOU ARE MY LOVE WILL FIND YOU,wherever you are my love will find you,NA,NANCY TILLMAN
L175,WHISTLE FOR WILLIE,NA,NA,EZRA JACK KEATS
L195,WINNIE THE POOH,winnie the pooh,NA,A.A. MILNE
M89,WINTER DAYS IN THE BIG WOODS,NA,NA,LAURA INGALLS WILDER
L234,YERTLE THE TURTLE,NA,NA,DR. SEUSS
L158,YOU GET WHAT YOU GET,NA,NA,JULIE GASSMAN
L105,ANNO'S JOURNEY,NA,NA,MISTSUMASA ANNO
L112,JOURNEY,NA,NA,AARON BECKER
