book_id,title,author,character_name,character_type,character_gender,notes,exclude,token_gender_mean,gender_group,char_main_singular,char_main_gender,char_name,n
L175,WHISTLE FOR WILLIE,EZRA JACK KEATS,Peter,m,m,,,2.594931325,male-biased,YES,M,PETER,379
L198,MORTIMER,ROBERT MUNSCH,Mortimer,m,m,,,2.597537927,male-biased,YES,M,MORTIMER,399
L198,MORTIMER,ROBERT MUNSCH,Mortimer's mother,s,f,,,2.597537927,male-biased,YES,M,MORTIMER,399
L198,MORTIMER,ROBERT MUNSCH,Mortimer's father,s,m,,,2.597537927,male-biased,YES,M,MORTIMER,399
M13,HAROLD AND THE PURPLE CRAYON,CROCKETT JOHNSON,Harold,m,m,,,2.604137207,male-biased,YES,M,HAROLD,662
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Crane Truck,s,m,,,2.611152761,male-biased,NO,M,NA,514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Cement Mixer,s,m,,,2.611152761,male-biased,NO,M,NA,514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Dump Truck,s,m,,,2.611152761,male-biased,NO,M,NA,514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Bulldozer,s,m,,,2.611152761,male-biased,NO,M,NA,514
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,Excavator,s,m,,,2.611152761,male-biased,NO,M,NA,514
M42,IF YOU GIVE A MOUSE A COOKIE,LAURA JOFFE NUMEROFF,mouse,m,m,,,2.632385201,male-biased,YES,M,MOUSE,291
M11,CAPS FOR SALE,ESPHYR SLOBODKINA,Peddler,m,m,,,2.639350812,male-biased,YES,M,PEDDLER,674
L131,ARTHUR'S NOSE,MARC BROWN,Arthur,m,m,,,2.643332608,male-biased,YES,M,ARTHUR,314
M10,THE SNOWY DAY,EZRA JACK KEATS,Peter,m,m,,,2.64387239,male-biased,YES,M,PETER,324
M85,IF YOU GIVE A MOOSE A MUFFIN,LAURA JOFFE NUMEROFF,moose,m,m,,,2.651155852,male-biased,YES,M,MOOSE,306
L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",REVEREND AWDRY,Thomas,m,m,,,2.651189801,male-biased,YES,M,THOMAS,513
M1,"BARK, GEORGE",JULES FEIFFER,George,m,m,,,2.65227793,male-biased,YES,M,GEORGE,226
M1,"BARK, GEORGE",JULES FEIFFER,George's mother,s,f,,,2.65227793,male-biased,YES,M,GEORGE,226
M53,HARRY THE DIRTY DOG,GENE ZION,Harry,m,m,,,2.673250092,male-biased,YES,M,HARRY,452
M74,BEAR WANTS MORE,KARMA WILSON,bear,m,m,some secondary characters,,2.675681978,male-biased,YES,M,BEAR,365
M81,TRASHY TOWN,ANDREA ZIMMERMAN AND DAVID CLEMESHA,Mr. Gilly,m,m,,,2.675772453,male-biased,YES,M,MR. GILLY,341
L217,GRANDFATHER'S JOURNEY,ALLEN SAY,grandfather,m,m,,,2.676873445,male-biased,YES,M,GRANDFATHER,568
L130,CLIFFORD THE BIG RED DOG,NORMAN BRIDWELL,Clifford,m,m,,,2.704920081,male-biased,YES,M,CLIFFORD,242
L130,CLIFFORD THE BIG RED DOG,NORMAN BRIDWELL,Emily Elizabeth,m,f,,,2.704920081,male-biased,YES,M,CLIFFORD,242
L171,LOST AND FOUND,OLIVER JEFFERS,boy,m,m,,,2.728676539,male-biased,YES,M,NA,453
M54,HOW DO DINOSAURS SAY GOOD NIGHT?,JANE YOLEN & MARK TEAGUE,dinosaur,m,m,,,2.732233622,male-biased,YES,M,DINOSAUR,151
L158,YOU GET WHAT YOU GET,JULIE GASSMAN,Melvin,m,m,,,2.73331481,male-biased,YES,M,MELVIN,393
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NICKELODEON PUBLISHING,Blaze,m,m,,,2.744297682,male-biased,YES,M,BLAZE,769
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NICKELODEON PUBLISHING,AJ,s,m,,,2.744297682,male-biased,YES,M,BLAZE,769
L252,BEAR SNORES ON,KARMA WILSON,bear,m,m,,,2.748849995,male-biased,YES,M,BEAR,416
M62,THE VERY HUNGRY CATERPILLAR,ERIC CARLE,Caterpillar,m,m,,,2.754219443,male-biased,YES,M,VERY HUNGRY CATERPILLAR,224
M51,DINOSAUR RESCUE,PENNY DALE,no_named_character,s,,,,2.764713809,male-biased,NO,AND,NA,198
L170,HOW TO CATCH A STAR,OLIVER JEFFERS,boy,m,m,,,2.767335199,male-biased,YES,M,BOY,379
M76,CLIFFORD AT THE CIRCUS,NORMAN BRIDWELL,Clifford,m,m,,,2.770623399,male-biased,YES,M,CLIFFORD,447
M76,CLIFFORD AT THE CIRCUS,NORMAN BRIDWELL,Emily Elizabeth,s,f,,,2.770623399,male-biased,YES,M,CLIFFORD,447
L192,JUST ME AND MY DAD,MERCER MAYER,no_named_character,n,m,,x,2.775845278,male-biased,YES,AND,NA,161
L192,JUST ME AND MY DAD,MERCER MAYER,dad,m,m,,x,2.775845278,male-biased,YES,AND,NA,161
M35,WHERE THE WILD THINGS ARE,MAURICE SENDAK,Max,m,m,,,2.777500772,male-biased,YES,M,MAX,341
L151,THE GRUFFALO'S CHILD,JULIA DONALDSON,THE GRUFFALO'S CHILD,m,f,,,2.78239227,male-biased,YES,M,THE GRUFFALO'S CHILD,607
M36,THE TALE OF PETER RABBIT,BEATRIX POTTER,Peter,m,m,,long,2.78400402,male-biased,YES,M,PETER,959
L145,PETE THE CAT: ROCKING IN MY SCHOOL SHOES,JAMES DEAN AND ERIC LITWIN,Pete,m,m,,,2.785846492,male-biased,YES,M,PETE,323
L229,MR. BROWN CAN MOO! CAN YOU?,DR. SEUSS,Mr. Brown,m,m,,,2.792248487,male-biased,YES,M,MR. BROWN,436
M41,LITTLE BLUE TRUCK LEADS THE WAY,ALICE SCHERTLE,no_gendered_character,,,,,2.792884677,male-biased,NO,AND,NA,339
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,Triangle,m,m,,,2.793387385,male-biased,YES,M,TRIANGLE,314
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,Square,m,m,,,2.793387385,male-biased,YES,M,TRIANGLE,314
M48,GREEN EGGS AND HAM,DR. SEUSS,Sam,m,m,,,2.925298004,neutral,YES,M,SAM,809
L144,SLOW LORIS,ALEXIS DEACON,Loris,m,m,,,2.927361716,neutral,YES,M,LORIS,233
M6,CORDUROY,DON FREEMAN,Corduroy,m,m,,,2.932250545,neutral,YES,M,CORDUROY,657
M6,CORDUROY,DON FREEMAN,Lisa,s,f,,,2.932250545,neutral,YES,M,CORDUROY,657
M23,THE GIVING TREE,SHEL SILVERSTEIN,boy,m,m,,,2.933689441,neutral,NO,MIXED,NA,625
M23,THE GIVING TREE,SHEL SILVERSTEIN,the tree,m,f,,,2.933689441,neutral,NO,MIXED,NA,625
L257,THE WHEELS ON THE BUS,PAUL O. ZELINSKY,no_main_character,,,,,2.934413464,neutral,NO,MIXED,NA,245
L177,I WANT MY HAT BACK,JON KLASSEN,no_named_character,,,,,2.934979525,neutral,YES,AND,NA,253
L132,BIG RED BARN,MARGARET WISE BROWN,no_main_character,,,,,2.938479393,neutral,NO,AND,NA,339
L169,MAMA DON'T ALLOW,THACHER HURD,Miles,m,m,,,2.947968185,neutral,YES,M,MILES,386
L169,MAMA DON'T ALLOW,THACHER HURD,mama,s,f,,,2.947968185,neutral,YES,M,MILES,386
M46,CHICKA CHICKA BOOM BOOM,BILL MARTIN,no_named_character,,,,,2.948580069,neutral,NO,AND,NA,280
M43,"OH, THE PLACES YOU'LL GO",DR. SEUSS,no_named_character,,,,,2.951708154,neutral,YES,AND,NA,938
M31,DON'T LET THE PIGEON DRIVE THE BUS,MO WILLEMS,the bus driver,m,m,,,2.954050045,neutral,YES,M,PIGEON,162
M93,SHOW DOG,MEGHAN MCCARTHY,Ed,m,m,typo line 13471?,,2.955942104,neutral,YES,MIXED,,504
M93,SHOW DOG,MEGHAN MCCARTHY,Princess,m,f,,,2.955942104,neutral,YES,MIXED,,504
M66,FROGGY GOES TO BED,JONATHAN LONDON,froggy,m,m,,,2.956248598,neutral,YES,M,FROGGY,488
M66,FROGGY GOES TO BED,JONATHAN LONDON,mother,s,f,,,2.956248598,neutral,YES,M,FROGGY,488
L205,"HAND, HAND, FINGERS, THUMB",AL PERKINS,no_main_character,,,,,2.958879046,neutral,NO,M,"JACK, JAKE",158
M68,MAISY GOES CAMPING,LUCY COUSINS,Maisy,m,f,many secondary characters,,2.961524916,neutral,YES,F,MAISY,163
L241,THE MONSTER AT THE END OF THIS BOOK,JON STONE,no_gendered_character,,,,,2.965047792,neutral,YES,M,GROVER,370
L156,DIARY OF A WOMBAT,JACKIE FRENCH,no_named_character,,,,,2.965509665,neutral,YES,AND,NA,340
L250,ELEPHANT AND PIGGY: TODAY I WILL FLY!,MO WILLIEMS,no_named_character,,,,,2.966017792,neutral,YES,F,NA,186
L167,HOW ROCKET LEARNED TO READ,TAD HILLS,Rocket,m,m,,,2.966528039,neutral,YES,M,ROCKET,854
M44,THE LITTLE ENGINE THAT COULD,WATTY PIPER,little train,m,f,,,2.969254689,neutral,YES,F,LITTLE BLUE ENGINE,999
M44,THE LITTLE ENGINE THAT COULD,WATTY PIPER,little toy clown,s,m,,,2.969254689,neutral,YES,F,LITTLE BLUE ENGINE,999
M20,OWL MOON,JANE YOLEN,no_named_character,m,NA,,x,2.969605925,neutral,YES,AND,NA,785
M20,OWL MOON,JANE YOLEN,Pa,s,m,,x,2.969605925,neutral,YES,AND,NA,785
M79,THE GROUCHY LADYBUG,ERIC CARLE,no_gendered_character,,,,x,2.972766792,neutral,YES,AND,GROUCHY LADYBUG,822
L223,IN THE NIGHT KITCHEN,MAURICE SENDAK,Mickey,m,m,,,2.981896666,neutral,YES,M,MICKEY,339
L129,"HELLO, ROCK",ROGER BRADFIELD,no_named_character,,,,,2.983528373,neutral,YES,AND,NA,263
M84,BUNNY PARTY,ROSEMARY WELLS,Max,m,m,,,2.984587973,neutral,YES,M,MAX,486
M84,BUNNY PARTY,ROSEMARY WELLS,Ruby,m,f,,,2.984587973,neutral,YES,M,MAX,486
L246,PRESS HERE,HERVE TULLET,no_main_character,,,,,2.985459345,neutral,NO,NA,NA,245
M3,"BROWN BEAR, BROWN BEAR, WHAT DO YOU SEE?",BILL MARTIN JR,no_gendered_character,,,,,2.986167678,neutral,NO,AND,NA,196
L224,DR. SEUSS'S ABC,DR. SEUSS,no_main_character,,,,,2.994218679,neutral,NO,MIXED,NA,413
M75,CHICKA CHICKA 1-2-3,BILL MARTIN JR,no_main_character,,,,,2.997363854,neutral,NO,AND,NA,324
M40,DRAGONS LOVE TACOS,ADAM RUBIN,no_main_character,,,,,3.002059876,neutral,NO,NA,NA,498
L242,GRUMPY BIRD,JEREMY TANKARD,bird,m,m,,,3.004982692,neutral,YES,M,BIRD,247
L237,LITTLE OWL'S NIGHT,DIVYA SRINIVASAN,Little Owl,m,m,,,3.007142522,neutral,YES,M,LITTLE OWL,274
L196,LITTLE BEAR: WHAT WILL LITTLE BEAR WEAR?,ELSE HOLMELUND MINARIK,Little Bear,m,m,,,3.008303303,neutral,YES,M,LITTLE BEAR,327
L196,LITTLE BEAR: WHAT WILL LITTLE BEAR WEAR?,ELSE HOLMELUND MINARIK,Mother Bear,s,f,,,3.008303303,neutral,YES,M,LITTLE BEAR,327
M73,CHARLIE AND THE NEW BABY,REE DRUMMOND,Charlie,m,m, (narrator),,3.133210606,female-biased,YES,M,CHARLIE,427
M73,CHARLIE AND THE NEW BABY,REE DRUMMOND,Mama,s,f,,,3.133210606,female-biased,YES,M,CHARLIE,427
L244,ON THE NIGHT YOU WERE BORN,NANCY TILLMAN,no_main_character,,,,,3.13712897,female-biased,NO,NA,NA,333
L121,HORNS TO TOES AND IN BETWEEN,SANDRA BOYNTON,no_main_character,,,,,3.140462328,female-biased,NO,NA,NA,172
L128,TICKLE TIME,SANDRA BOYNTON,no_main_character,,,,,3.153370259,female-biased,NO,NA,NA,301
L103,MISS NELSON IS MISSING,HARRY ALLARD,Miss Nelson/Miss Swamp,m,f,,,3.161608865,female-biased,YES,F,MISS SWAMP/MISS NELSON,657
L123,"NIGHT-NIGHT, LITTLE POOKIE",SANDRA BOYNTON,no_named_character,,,,,3.16405543,female-biased,YES,AND,POOKIE,173
M70,LLAMA LLAMA HOME WITH MAMA,ANNA DEWDNEY,Mama Llama,m,f,,,3.169923209,female-biased,YES,M,LLAMA LLAMA,244
M70,LLAMA LLAMA HOME WITH MAMA,ANNA DEWDNEY,Llama Llama,m,m,,,3.169923209,female-biased,YES,M,LLAMA LLAMA,244
L210,BABY BELUGA,RAFFI,baby beluga,m,n,,,3.170363139,female-biased,YES,AND,BABY BELUGA,175
L204,IF ANIMALS KISSED GOOD NIGHT,ANN WHITFORD PAUL,no_named_character,,,,,3.177387674,female-biased,NO,MIXED,NA,340
L116,BELLY BUTTON BOOK,SANDRA BOYNTON,no_main_character,,,,,3.185217709,female-biased,YES,F,NA,237
M67,GOLDILICIOUS,VICTORIA KANN,Pinkalicious,m,f,,,3.192415713,female-biased,YES,F,PINKALICIOUS,681
M67,GOLDILICIOUS,VICTORIA KANN,Peter,s,m,,,3.192415713,female-biased,YES,F,PINKALICIOUS,681
L220,RAIN MAKES APPLESAUCE,JULIAN SCHEER,no_named_character,,,,,3.192584756,female-biased,YES,AND,NA,189
L149,SPAGHETTI IN A HOT DOG BUN: HAVING THE COURAGE TO BE WHO YOU ARE,MARIA DISMONDY,,,,,,3.204558351,female-biased,YES,F,LUCY,948
L126,SNUGGLE PUPPY,SANDRA BOYNTON,no_named_character,,,,,3.205023296,female-biased,YES,AND,NA,178
M17,MADELINE,LUDWIG BEMELMANS,Madeline,m,f,,,3.213922539,female-biased,YES,F,MADELINE,428
M57,MAISY GOES TO THE LIBRARY,LUCY COUSINS,Maisy,m,f,,,3.220610501,female-biased,YES,F,MAISY,240
M15,THE OTHER SIDE,JACQUELINE WOODSON,Clover,m,f,,,3.221078299,female-biased,YES,F,CLOVER,631
M15,THE OTHER SIDE,JACQUELINE WOODSON,Mama,s,f,,,3.221078299,female-biased,YES,F,CLOVER,631
M15,THE OTHER SIDE,JACQUELINE WOODSON,Annie,s,f,,,3.221078299,female-biased,YES,F,CLOVER,631
M89,WINTER DAYS IN THE BIG WOODS,LAURA INGALLS WILDER,Laura,m,f,,,3.230307817,female-biased,YES,F,LAURA,562
M89,WINTER DAYS IN THE BIG WOODS,LAURA INGALLS WILDER,Mary,s,f,,,3.230307817,female-biased,YES,F,LAURA,562
M89,WINTER DAYS IN THE BIG WOODS,LAURA INGALLS WILDER,Ma,s,f,,,3.230307817,female-biased,YES,F,LAURA,562
M89,WINTER DAYS IN THE BIG WOODS,LAURA INGALLS WILDER,Pa,s,m,,,3.230307817,female-biased,YES,F,LAURA,562
M63,KNUFFLE BUNNY,MO WILLEMS,Trixie,m,f,,,3.248925229,female-biased,YES,F,TRIXIE,209
M63,KNUFFLE BUNNY,MO WILLEMS,Trixie's Daddy,s,m,,,3.248925229,female-biased,YES,F,TRIXIE,209
L187,WELCOME LITTLE ONE,SANDRA MAGSAMEN,no_named_character,,,,,3.251291122,female-biased,YES,AND,NA,167
M47,I'M A BIG SISTER,JOANNA COLE,big sister,m,f,,,3.256942264,female-biased,YES,F,BIG SISTER,234
L154,TIME FOR BED,MEM FOX,no_main_character,,,,,3.258459278,female-biased,NO,AND,NA,203
L155,TEN LITTLE FINGERS AND TEN LITTLE TOES,MEM FOX AND HELEN OXENBURY,no_named_character,,,,,3.263855025,female-biased,NO,AND,NA,184
M69,OLIVIA. . . AND THE MISSING TOY,IAN FALCONER,Olivia,m,f,,,3.267987253,female-biased,YES,F,OLIVIA,370
M69,OLIVIA. . . AND THE MISSING TOY,IAN FALCONER,Olivia's mother,s,f,,,3.267987253,female-biased,YES,F,OLIVIA,370
L211,HOW TO BABYSIT A GRANDMA,JEAN REAGAN,no_named_character,m,n,,x,3.279077303,female-biased,YES,F,NA,595
L211,HOW TO BABYSIT A GRANDMA,JEAN REAGAN,grandma,m,f,,x,3.279077303,female-biased,YES,F,NA,595
M56,LLAMA LLAMA RED PAJAMA,ANNA DEWDNEY,llama llama red pajama/baby llama,m,m,,,3.297136002,female-biased,YES,M,LLAMA LLAMA,234
M56,LLAMA LLAMA RED PAJAMA,ANNA DEWDNEY,mama llama,m,f,,,3.297136002,female-biased,YES,M,LLAMA LLAMA,234
L185,GRANDMA WISHES,JULIA LOBO,grandma,m,f,,,3.301332177,female-biased,YES,F,GRANDMA,160
M64,LADYBUG GIRL AT THE BEACH,DAVID SOMAN AND JACKY DAVIS,Lulu,m,f,,,3.318835704,female-biased,YES,F,LULU,841
M14,THE KEEPING QUILT,PATRICIA POLACCO,Anna,m,f,,,3.320715097,female-biased,YES,F,ANNA,809
L159,I LOVE MY MOMMY BECAUSE,LAUREL PORTER-GAYLORD,mommy,m,f,,,3.335048911,female-biased,YES,AND,MOMMY,171
L253,THE NIGHT BEFORE MOTHER'S DAY,NATASHA WING,Mom,m,f,,,3.360514587,female-biased,YES,F,MOM,403
M58,OLIVIA,IAN FALCONER,Olivia,m,f,,,3.491101817,female-biased,YES,F,OLIVIA,320
M58,OLIVIA,IAN FALCONER,mother,s,f,,,,,,,,