book_id,title,author,earliest_advert_level_months,ISBN
L101,EACH PEACH PEAR PLUM,JANET AND ALLAN AHLBERG,48,978-0670882786
L102,HUG,JEZ ALBOROUGH,24,978-0763645106
L103,MISS NELSON IS MISSING,HARRY ALLARD,48,978-0395401460
L104,GIRAFFES CAN'T DANCE,GILES ANDREAE,48,978-0545392551
L105,ANNO'S JOURNEY,NA,NA,NA
L106,JENNY AND THE CAT CLUB,ESTHER AVERILL,60,978-1590170472
L107,"THOMAS AND FRIENDS: GO, TRAIN, GO!",REVEREND AWDRY,24,978-0375834615
L108,THOMAS THE TANK ENGINE: THE VERY FIRST STORIES,THE REVEREND W AWDRY,48,978-0553523355
L109,EXTRA YARN,MAC BARNETT,48,978-0061953385
L110,SQUARE,MAC BARNETT AND JON KLASSEN,60,978-0763696078
L111,TRIANGLE (SHAPE TRILOGY),MAC BARNETT AND JON KLASSEN,60,978-0763696030
L112,JOURNEY,NA,NA,NA
L113,THE BIG HONEY HUNT,STANLEY AND JANICE BERENSTAIN,36,978-0394800288
L114,ARE YOU A COW?,SANDRA BOYNTON,12,978-1442417335
L116,BELLY BUTTON BOOK,SANDRA BOYNTON,12,978-0761166184
L117,"BLUE HAT, GREEN HAT",SANDRA BOYNTON,12,978-0671493202
L118,BUT NOT THE HIPPOPOTAMUS,SANDRA BOYNTON,24,978-0671449049
L119,DOGGIES,SANDRA BOYNTON,12,978-0671493189
L120,HIPPOS GO BERSERK,SANDRA BOYNTON,24,978-0689834349
L121,HORNS TO TOES AND IN BETWEEN,SANDRA BOYNTON,12,978-0671493196
L122,"MOO, BAA, LA LA LA!",SANDRA BOYNTON,3,978-0671449018
L123,"NIGHT-NIGHT, LITTLE POOKIE",SANDRA BOYNTON,12,978-1481497718
L124,OH MY OH MY OH MY DINOSAURS!,SANDRA BOYNTON,48,978-1563054419
L125,PAJAMA TIME!,SANDRA BOYNTON,24,978-0761119753
L126,SNUGGLE PUPPY,SANDRA BOYNTON,24,978-1523504008
L127,THE GOING TO BED BOOK,SANDRA BOYNTON,24,978-0671449025
L128,TICKLE TIME,SANDRA BOYNTON,24,Œæ978-0761168836
L129,"HELLO, ROCK",ROGER BRADFIELD,60,978-1930900646
L130,CLIFFORD THE BIG RED DOG,NORMAN BRIDWELL,36,978-0545215787
L131,ARTHUR'S NOSE,MARC BROWN,36,978-0316110709
L132,BIG RED BARN,MARGARET WISE BROWN,24,978-0694006243
L133,THE COLOR KITTENS,MARGARET WISE BROWN,36,978-0307021416
L134,THE IMPORTANT BOOK,MARGARET WISE BROWN,48,978-0064432276
L136,KATY AND THE BIG SNOW,VIRGINIA LEE BURTON,48,978-0395185629
L138,FROM HEAD TO TOE,ERIC CARLE,12,978-0694013012
L139,I AM A BIG SISTER!,CAROLINE JAYNE CHURCH,24,978-0545688987
L140,SOMETIMES I LIKE TO CURL UP IN A BALL,VICKI CHURCHILL,24,978-1862332539
L141,SHE PERSISTED: 13 AMERICAN WOMEN WHO CHANGED THE WORLD,CHELSEA CLINTON,48,978-1524741723
L142,TODAY I'LL BE A PRINCESS,PAULA CROYLE,36,978-1449428655
L143,"GOOD DOG, CARL",ALEXANDRA DAY,12,978-0689807480
L144,SLOW LORIS,ALEXIS DEACON,48,978-0099414261
L145,PETE THE CAT: ROCKING IN MY SCHOOL SHOES,JAMES DEAN AND ERIC LITWIN,48,978-0061910241
L146,JAMBERRY,BRUCE DEGEN,24,978-0694006519
L147,LLAMA LLAMA NIGHTY-NIGHT,ANNA DEWDNEY,24,978-0670013272
L148,THE POUT-POUT FISH,DEBORAH DIESEN,48,978-0374360979
L149,SPAGHETTI IN A HOT DOG BUN: HAVING THE COURAGE TO BE WHO YOU ARE,MARIA DISMONDY,48,978-0615473932
L150,THE GRUFFALO,JULIA DONALDSON,36,978-0142403877
L151,THE GRUFFALO'S CHILD,JULIA DONALDSON,36,978-0142407547
L153,"GO, DOG. GO!",P.D. EASTMAN,36,978-0394800202
L154,TIME FOR BED,MEM FOX,12,978-0152010669
L155,TEN LITTLE FINGERS AND TEN LITTLE TOES,MEM FOX AND HELEN OXENBURY,60,978-0547366203
L156,DIARY OF A WOMBAT,JACKIE FRENCH,48,978-0547076690
L157,MILLIONS OF CATS,WANDA GAG,24,978-0142407080
L158,YOU GET WHAT YOU GET,JULIE GASSMAN,48,978-1479521579
L159,I LOVE MY MOMMY BECAUSE...,LAUREL PORTER-GAYLORD,12,978-0525472476
L160,TEN LITTLE LADYBUGS,MELANIE GERTH,60,978-1581170917
L161,PUPPY BIRTHDAY TO YOU! (PAW PATROL),GOLDEN BOOKS (PUBLISHER),24,978-0553522778
L162,EVERYONE POOPS,TARO GOMI,60,978-1929132140
L163,DOGS,EMILY GRAVETT,24,978-1416987031
L164,MVP: MOST VALUABLE PUPPY,MIKE GREENBERG & STACY STEPONATE GREENBERG,48,978-1481489317
L165,GOD BLESS YOU AND GOOD NIGHT,HANNAH HALL,24,978-1400322944
L166,WHERE'S SPOT?,ERIC HILL,12,978-0723249672
L167,HOW ROCKET LEARNED TO READ,TAD HILLS,36,978-0375858994
L168,WHERE IS THE GREEN SHEEP?,MEM FOX AND JUDY HORACEK,48,978-0152067045
L169,MAMA DON'T ALLOW,THACHER HURD,48,978-0064430784
L170,HOW TO CATCH A STAR,OLIVER JEFFERS,36,978-0399242861
L171,LOST AND FOUND,OLIVER JEFFERS,36,978-0399245039
L172,THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE,WILLIAM JOYCE,48,978-1442457027
L173,"SAYONARA, MRS. KACKLEMAN",MAIRA KALMAN,48,978-0670829453
L174,WHERE IS BABY'S BELLY BUTTON,KAREN KATZ,12,978-0689835605
L175,WHISTLE FOR WILLIE,EZRA JACK KEATS,24,978-0670880461
L176,BABY TOUCH AND FEEL: ANIMALS,DORLING KINDERSLEY (PUBLISHER),24,978-0756634681
L177,I WANT MY HAT BACK,JON KLASSEN,48,978-0763655983
L178,P IS FOR POTTY!,NAOMI KLEINBERG,48,978-0385383691
L179,LIBRARY LION,MICHELLE KNUDSEN,48,978-0545202824
L180,PAT THE BUNNY,DOROTHY KUNHARDT,3,978-0307120007
L181,THE RED BALLOON,ALBERT LAMORISSE,36,978-0385003438
L182,ALLIGATOR PIE,DENNIS LEE,NA,978-1443411516
L183,CHUGGA-CHUGGA CHOO-CHOO,KEVIN LEWIS,36,978-0786807604
L184,FROG AND TOAD,ARNOLD LOBEL,48,978-0064440202
L185,GRANDMA WISHES,JULIA LOBO,3,978-1680520088
L186,THE POKY LITTLE PUPPY,JANETTE SEBRING LOWRY,24,978-0307021342
L187,WELCOME LITTLE ONE,SANDRA MAGSAMEN,24,978-1406352962
L188,THE WONDERFUL THINGS YOU WILL BE,EMILY WINFIELD MARTIN,36,978-0385376716
L189,"BABY BEAR, BABY BEAR, WHAT DO YOU SEE?",BILL MARTIN JR AND ERIC CARLE,24,978-0805089905
L190,"POLAR BEAR, POLAR BEAR, WHAT DO YOU HEAR?",BILL MARTIN JR. AND ERIC CARLE,24,978-0805053883
L191,"BOB BOOKS, SET 1: BEGINNING READERS",BOBBY LYNN MASLEN,48,978-0439845007
L192,JUST ME AND MY DAD,MERCER MAYER,36,978-0307118394
L193,"I LOVE YOU, STINKY FACE",LISA MCCOURT,24,978-0439635721
L194,"BIG SHARK, LITTLE SHARK",ANNA MEMBRINO,48,978-0399557286
L195,WINNIE THE POOH,A.A. MILNE,48,978-0525477686
L196,LITTLE BEAR: WHAT WILL LITTLE BEAR WEAR?,ELSE HOLMELUND MINARIK,48,978-0064440042
L197,TIKKI TIKKI TEMBO,ARLENE MOSEL,48,978-0312367480
L198,MORTIMER,ROBERT MUNSCH,48,978-0920303115
L199,THE THREE QUESTIONS,JOHN J. MUTH,48,978-0439199964
L200,MIGHTY MONSTER MACHINES (BLAZE AND THE MONSTER MACHINES),NICKELODEON PUBLISHING,24,978-0553524567
L201,AMELIA BEDELIA,PEGGY PARISH,48,978-0064441551
L202,"IF YOU EVER WANT TO BRING A PIANO TO THE BEACH, DON'T!",ELISE PARSLEY,60,978-0316376594
L203,POTTY,LESLIE PATRICELLI,24,978-0763644765
L204,IF ANIMALS KISSED GOOD NIGHT,ANN WHITFORD PAUL,36,978-0374300210
L205,"HAND, HAND, FINGERS, THUMB",AL PERKINS,48,978-0679890485
L207,B IS FOR BEAR,ROGER PRIDDY,48,978-0312499181
L208,FIRST 100 WORDS,ROGER PRIDDY,12,978-0312510787
L209,"NUMBERS, COLORS, SHAPES",ROGER PRIDDY,12,978-0312510817
L210,BABY BELUGA,RAFFI,36,978-0517709771
L211,HOW TO BABYSIT A GRANDMA,JEAN REAGAN,36,978-0385753845
L213,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE",SHERRI DUSKEY RINKER AND TOM LICHTENHELD,12,978-0811877824
L214,I AM A BUNNY,OLE RISOM AND RICHARD SCARRY,48,978-0375827785
L215,WE'RE GOING ON A BEAR HUNT,MICHAEL ROSEN,48,978-1492632641
L216,I WISH YOU MORE,AMY KROUSE ROSENTHAL AND TOM LICHTENHELD,60,978-1452126999
L217,GRANDFATHER'S JOURNEY,ALLEN SAY,48,978-0547076805
L218,WHERE DO DIGGERS SLEEP AT NIGHT?,BRIANNA CAPLAN SAYRES,24,978-0385374156
L219,CARS AND TRUCKS AND THINGS THAT GO,RICHARD SCARRY,36,978-0307157850
L220,RAIN MAKES APPLESAUCE,JULIAN SCHEER,48,978-0823400911
L221,LITTLE BLUE TRUCK,ALICE SCHERTLE,48,978-0544568037
L222,THE STINKY CHEESE MAN AND OTHER FAIRLY STUPID TALES,JON SCIESZKA,36,978-0670844876
L223,IN THE NIGHT KITCHEN,MAURICE SENDAK,36,978-0064434362
L224,DR. SEUSS'S ABC,DR. SEUSS,48,978-0375834967
L225,FOX IN SOCKS,DR. SEUSS,36,978-0307931801
L227,"HAPPY BIRTHDAY, BABY!",DR. SEUSS,48,978-0375846212
L228,HOP ON POP,DR. SEUSS,36,978-0394800295
L229,MR. BROWN CAN MOO! CAN YOU?,DR. SEUSS,24,978-0679882824
L230,"OH, THE THINKS YOU CAN THINK!",DR. SEUSS,36,978-0394831299
L231,ONE FISH TWO FISH RED FISH BLUE FISH,DR. SEUSS,36,978-0394800134
L232,THE FOOT BOOK,DR. SEUSS,48,978-0375861352
L233,THERE'S A WOCKET IN MY POCKET!,DR. SEUSS,24,978-0679882831
L234,YERTLE THE TURTLE,DR. SEUSS,60,978-0394800875
L235,I LOVE YOU THROUGH AND THROUGH,BERNADETTE ROSSETTI-SHUSTAK,24,978-0439673631
L236,WHERE THE SIDEWALK ENDS,SHEL SILVERSTEIN,NA,978-0060256678
L237,LITTLE OWL'S NIGHT,DIVYA SRINIVASAN,48,978-0670015795
L239,BRAVE IRENE,WILLIAM STEIG,48,978-0312564223
L240,"KINDERGARTEN, HERE I COME!",D.J. STEINBERG,36,978-0448456249
L241,THE MONSTER AT THE END OF THIS BOOK,JON STONE,36,978-0307010858
L242,GRUMPY BIRD,JEREMY TANKARD,48,978-0545871822
L243,ELOISE,KAY THOMPSON,24,978-0671223502
L244,ON THE NIGHT YOU WERE BORN,NANCY TILLMAN,12,978-0312601553
L245,WHEREVER YOU ARE MY LOVE WILL FIND YOU,NANCY TILLMAN,48,978-1250017970
L246,PRESS HERE,HERVí_Åæ TULLET,24,978-0811879545
L247,THE GARDEN OF ABDUL GASAZI,CHRIS VAN ALLSBURG,48,978-0395278048
L248,TUESDAY,DAVID WIESNER,48,978-0395870822
L250,ELEPHANT AND PIGGY: TODAY I WILL FLY!,MO WILLIEMS,48,978-1423102953
L252,BEAR SNORES ON,KARMA WILSON,24,978-1416902720
L253,THE NIGHT BEFORE MOTHER'S DAY,NATASHA WING,36,978-0448452135
L254,THE REAL MOTHER GOOSE,BLANCHE FISHER WRIGHT,0,978-0590225175
L255,HOW DO DINOSAURS SAY HAPPY BIRTHDAY?,JANE YOLEN AND MARK TEAGUE,36,978-0545153539
L256,LON PO PO: A RED RIDING HOOD STORY FROM CHINA,ED YOUNG,48,978-0399216190
L257,THE WHEELS ON THE BUS,PAUL O. ZELINSKY,36,978-0525465065
M1,"BARK, GEORGE",JULES FEIFFER,48,978-0062051851
M10,THE SNOWY DAY,EZRA JACK KEATS,24,978-0140501827
M100,TRAIN,ELISHA COOPER,48,978-0545384987
M11,CAPS FOR SALE,ESPHYR SLOBODKINA,48,978-0064431439
M12,GUESS HOW MUCH I LOVE YOU,SAM MCBRATNEY,3,978-0763642648
M13,HAROLD AND THE PURPLE CRAYON,CROCKETT JOHNSON,36,978-0064430227
M14,THE KEEPING QUILT,PATRICIA POLACCO,48,978-0153052150
M15,THE OTHER SIDE,JACQUELINE WOODSON,60,978-0399231162
M16,GOOD NIGHT GORILLA,PEGGY RATHMAN,12,978-0399230035
M17,MADELINE,LUDWIG BEMELMANS,36,978-0670445806
M18,MAKE WAY FOR DUCKLINGS,ROBERT MCCLOSKEY,NA,978-0140564341
M19,"NO, DAVID!",DAVID SHANNON,36,978-0439129657
M2,BLUEBERRIES FOR SAL,ROBERT MCCLOSKEY,36,978-0140501698
M20,OWL MOON,JANE YOLEN,24,978-0399214578
M21,STELLALUNA,JANELL CANNON,48,978-0152802172
M22,SYLVESTER AND THE MAGIC PEBBLE,WILLIAM STEIG,NA,978-1442435605
M23,THE GIVING TREE,SHEL SILVERSTEIN,12,978-0060256654
M24,THE POLAR EXPRESS,CHRIS VAN ALLSBURG,48,978-039538942
M25,DEAR ZOO,ROD CAMPBELL,12,978-1416947370
M26,THE LITTLE HOUSE,VIRGINIA LEE BURTON,48,978-0395259382
M27,THE LORAX,DR. SEUSS,48,978-0394823379
M28,THE RUNAWAY BUNNY,MARGARET WISE BROWN,24,978-0061074295
M29,"ALEXANDER AND THE TERRIBLE, HORRIBLE, NO GOOD, VERY BAD DAY",JUDITH VIORST,NA,978-1442498167
M3,"BROWN BEAR, BROWN BEAR, WHAT DO YOU SEE?",BILL MARTIN JR,24,978-0805047905
M30,A BAD CASE OF STRIPES,DAVID SHANNON,48,978-0439598385
M32,THE NAPPING HOUSE,AUDREY WOOD,48,978-0544602250
M33,MIKE MULLIGAN AND HIS STEAM SHOVEL,VIRGINIA LEE BURTON,48,978-0395259399
M34,THE STORY OF BABAR,JEAN DE BRUNHOFF,48,978-0394805757
M35,WHERE THE WILD THINGS ARE,AUTHOR:MAURICE SENDAK,48,978-0064431781
M36,THE TALE OF PETER RABBIT,BEATRIX POTTER,24,978-0723247708
M37,THE STORY OF FERDINAND,MUNRO LEAF,36,978-0448456942
M38,ARE YOU MY MOTHER?,P.D. EASTMAN,60,978-0394800189
M39,CHRYSANTHEMUM,KEVIN HENKES,48,978-0688147327
M40,DRAGONS LOVE TACOS,ADAM RUBIN,36,978-0803736801
M41,LITTLE BLUE TRUCK LEADS THE WAY,ALICE SCHERTLE,48,978-0544568051
M42,IF YOU GIVE A MOUSE A COOKIE,LAURA JOFFE NUMEROFF,24,978-0060245863
M44,THE LITTLE ENGINE THAT COULD,WATTY PIPER,36,978-0448401010
M45,GOODNIGHT MOON,MARGARET WISE BROWN,3,978-0694003617
M46,CHICKA CHICKA BOOM BOOM,BILL MARTIN,12,978-1442450707
M48,GREEN EGGS AND HAM,DR. SEUSS,36,978-0375973963
M49,CURIOUS GEORGE TAKES A JOB,H.A. RAY,48,978-0395186497
M5,CLOUDY WITH A CHANCE OF MEATBALLS,JUDI BARRETT,48,978-0689707490
M50,THE PIGEON FINDS A HOT DOG!,MO WILLEMS,24,978-0786818693
M51,DINOSAUR RESCUE,PENNY DALE,24,978-0763680008
M52,DUCK ON A BIKE,DAVID SHANNON,48,978-0439050234
M53,HARRY THE DIRTY DOG,GENE ZION,48,978-0064430098
M54,HOW DO DINOSAURS SAY GOOD NIGHT?,JANE YOLEN & MARK TEAGUE,36,978-0590316811
M56,LLAMA LLAMA RED PAJAMA,ANNA DEWDNEY,12,978-0670059836
M57,MAISY GOES TO THE LIBRARY,LUCY COUSINS,24,978-0763643713
M58,OLIVIA,IAN FALCONER,24,978-0689874727
M59,THE BERENSTAIN BEARS FORGET THEIR MANNERS,STAN & JAN BERENSTAIN,36,978-0394873336
M6,CORDUROY,DON FREEMAN,24,978-0140501735
M60,THIS IS NOT MY HAT,JON KLASSEN,48,978-0763655990
M62,THE VERY HUNGRY CATERPILLAR,ERIC CARLE,36,978-0399226908
M64,LADYBUG GIRL AT THE BEACH,DAVID SOMAN AND JACKY DAVIS,36,978-0803734166
M65,A SICK DAY FOR AMOS MCGEE,PHILIP C. STEAD,24,978-1742377797
M66,FROGGY GOES TO BED,JONATHAN LONDON,36,978-0140566574
M67,GOLDILICIOUS,VICTORIA KANN,48,978-0061244087
M68,MAISY GOES CAMPING,LUCY COUSINS,24,978-0763643683
M69,OLIVIA. . . AND THE MISSING TOY,IAN FALCONER,36,978-0689852916
M7,CURIOUS GEORGE,H.A. REY,48,978-0395150238
M70,LLAMA LLAMA HOME WITH MAMA,ANNA DEWDNEY,24,978-0670012329
M71,HOW TO TRAIN A TRAIN,JASON CARTER EATON,48,978-0763663070
M72,PETE THE CAT: THE WHEELS ON THE BUS,JAMES DEAN,48,978-0062358523
M73,CHARLIE AND THE NEW BABY,REE DRUMMOND,48,978-0062297501
M74,BEAR WANTS MORE,KARMA WILSON,36,978-1416949220
M75,CHICKA CHICKA 1-2-3,BILL MARTIN JR,12,978-1481400565
M76,CLIFFORD AT THE CIRCUS,NORMAN BRIDWELL,48,978-0545215848
M77,THE CAT IN THE HAT,DR. SEUSS,36,978-0394800011
M78,THE DUCKLING GETS A COOKIE!?,MO WILLEMS,24,978-1423151289
M79,THE GROUCHY LADYBUG,ERIC CARLE,48,978-0694013203
M8,LOVE YOU FOREVER,AUTHOR:SHEILA MCGRAW,48,978-0920668375
M80,THE TRUE STORY OF THE 3 LITTLE PIGS!,JON SCIESZKA,60,978-0140544510
M81,TRASHY TOWN,ANDREA ZIMMERMAN AND DAVID CLEMESHA,48,978-0060271398
M82,THE DAY THE CRAYONS QUIT,DREW DAYWALT,36,978-0399255373
M83,ARTHUR WRITES A STORY,MARC BROWN,60,978-0316111645
M84,BUNNY PARTY,ROSEMARY WELLS,36,978-0142501627
M85,IF YOU GIVE A MOOSE A MUFFIN,LAURA JOFFE NUMEROFF,36,978-0060244057
M86,THAT IS NOT A GOOD IDEA!,MO WILLEMS,48,978-0062203090
M87,THE BERENSTAIN BEARS AND THE GREEN-EYED MONSTER,STAN & JAN BERENSTAIN,36,978-0679864349
M88,THE PAPER BAG PRINCESS,ROBERT N. MUNSCH,36,978-0920236161
M89,WINTER DAYS IN THE BIG WOODS,LAURA INGALLS WILDER,48,978-0064433730
M9,THE CARROT SEED,RUTH KRAUSS,48,978-0064432108
M90,ANGELINA ICE SKATES,KATHARINE HOLABIRD,36,978-0670062379
M91,HORTON HEARS A WHO!,DR. SEUSS,60,978-0394800783
M92,BREAD AND JAM FOR FRANCES,RUSSELL HOBAN,48,978-0060838003
M93,SHOW DOG,MEGHAN MCCARTHY,36,978-0670036882
M94,GEORGE AND MARTHA,JAMES MARSHALL,48,978-0395199725
M95,MISS RUMPHIUS,BARBARA COONEY,60,978-0140505399
M96,THE GARDENER,SARAH STEWART,48,978-0312367497
M97,THE HAT,JAN BRETT,48,978-0399231018
M98,ARNIE THE DOUGHNUT,LOURIE KELLER,48,978-1250079473
M99,WHEN DINOSAURS CAME WITH EVERYTHING,ELISE BROACH,36,978-0689869228
L258,ANIMALIA,GRAEME BASE,36,978-0810919396
L115,BARNYARD DANCE!,SANDRA BOYNTON,12,978-1563054426
M4,"CLICK, CLACK, MOO: COWS THAT TYPE",DOREEN CRONIN,36,978-1481465403
M31,DON'T LET THE PIGEON DRIVE THE BUS,MO WILLEMS,24,978-0786819881
M47,I'M A BIG SISTER,JOANNA COLE,48,978-0061900624
M63,KNUFFLE BUNNY,MO WILLEMS,36,978-0786818709
M55,LILLY'S PURPLE PLASTIC PURSE,KEVIN HENKES,48,978-0688128975
M43,"OH, THE PLACES YOUí_í_ŒéLL GO",DR. SEUSS,36,978-0679805274
M61,THERE'S AN ALLIGATOR UNDER MY BED,MERCER MAYER,48,978-0803703742
